num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,ci,bs_degree,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,fixmodel,0.8221,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,fixmodel_cal,0.8223,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,splines,0.8258,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,splines_cal,0.8249,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,fixmodel,0.8271,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,fixmodel_cal,0.8301,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,splines,0.8301,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,splines_cal,0.8292,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,fixmodel,0.8429,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,fixmodel_cal,0.8422,0,10000
