num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,ci,bs_degree,poly_degree,n_wave,N_peak,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,piecewise,0.025,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,piecewise_cal,0.0245,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,poolmodel,7e-4,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,sepmodel,0.0243,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,splines,0.0243,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,splines_cal,0.025,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,fixmodel,0.0234,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,fixmodel_cal,0.0243,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,mixmodel,0.0104,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,mixmodel_AR1,0.0122,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,mixmodel_AR1_cal,0.0117,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,mixmodel_cal,4e-4,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,piecewise,0.0236,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,piecewise_cal,0.0226,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,poolmodel,1e-4,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,sepmodel,0.0225,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,splines,0.0229,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,splines_cal,0.0234,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,fixmodel,0.0249,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,fixmodel_cal,0.0241,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,mixmodel,0.0122,0,10000
