num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,ci,bs_degree,poly_degree,n_wave,N_peak,timetrend,hypothesis,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,fixmodel_cal,0.026,0.0017922368956772648,0.007729342833724791,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,poolmodel,0.001,-0.05943814123162102,0.010440394394892392,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,sepmodel,0.033,0.0016651416619940654,0.008264837015526863,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,splines,0.031,0.001983961644372587,0.007686353912333136,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,splines_cal,0.03,0.0018922107434252411,0.007722341546452024,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,fixmodel,0.023,0.0019270661595721787,0.007193351971703516,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,fixmodel_cal,0.023,0.001813689467760156,0.00720461855402951,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,poolmodel,0.004,-0.059245676120411345,0.009884917621724719,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,sepmodel,0.026,0.0018576067732037256,0.007673771140045944,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,splines,0.022,0.0021779644989591246,0.007072399087084714,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,3,splines_cal,0.024,0.0019610412216992125,0.007219131401537434,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,fixmodel,0.025,8.266889458820878e-5,0.00682709769610879,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,fixmodel_cal,0.025,2.81781573054899e-4,0.0068734690420780755,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,poolmodel,0,-0.10930642588001689,0.017836258028390544,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,sepmodel,0.031,-0.0012455979958135971,0.00778247847204402,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,splines,0.026,2.975444209711834e-4,0.006798011472052615,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,4,splines_cal,0.024,5.680342157999834e-4,0.006798688803163185,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,fixmodel,0.026,4.969798506776952e-4,0.006932174632292542,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,fixmodel_cal,0.026,4.3723839327888066e-4,0.007016163013041578,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,poolmodel,0,-0.10889211492392742,0.018021701392609557,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,sepmodel,0.019,-8.312870397241609e-4,0.007806356256437055,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,splines,0.024,7.085486348025392e-4,0.0069167050289261605,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,5,splines_cal,0.028,7.382972190121734e-4,0.006968679173459447,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,fixmodel,0.017,0.001663154196839501,0.00644001398392694,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,fixmodel_cal,0.02,0.001201953626691933,0.006518404455171463,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,poolmodel,0,-0.13993650419920126,0.025474084173130657,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,sepmodel,0.019,0.0010578116870487843,0.007477205713398064,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,splines,0.021,0.001761085899421583,0.006446460463578027,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,6,splines_cal,0.018,0.0016601000438483187,0.006484520536573599,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,fixmodel,0.018,0.0014882910020142441,0.006577628529509024,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,fixmodel_cal,0.02,0.0010701289977508173,0.006651080712115474,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,poolmodel,0,-0.14011136739402674,0.025370154198644797,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,sepmodel,0.019,8.829484922232911e-4,0.007729733765851501,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,splines,0.02,0.0015833742315151977,0.00653791789322659,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,7,splines_cal,0.018,0.0016349970589368441,0.006628548503453783,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,fixmodel,0.028,-3.5755506274308835e-4,0.007151391465985123,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,fixmodel_cal,0.025,-2.0682945123403433e-4,0.007179402998262681,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,poolmodel,0.004,-0.06271451505850399,0.00996985659012035,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,sepmodel,0.022,-8.155176282767042e-4,0.007708911241165421,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,splines,0.029,-3.6098610407556353e-4,0.007109386471523527,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,2,splines_cal,0.026,-5.362236765268756e-4,0.007163219841308138,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,fixmodel,0.021,-4.701399110728389e-5,0.0073995042058974305,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,fixmodel_cal,0.026,-1.3983377023574854e-4,0.007454409226628808,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,poolmodel,0.002,-0.0624039739868688,0.010254057446242557,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,sepmodel,0.022,-5.049765566415129e-4,0.008024133273970021,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,splines,0.024,-4.5904411797969584e-5,0.007364047376862415,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,3,splines_cal,0.021,2.116133643634342e-4,0.007374188781355776,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,4,fixmodel,0.024,0.0010376470728402113,0.007235038704900122,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,4,fixmodel_cal,0.024,0.001036543048071758,0.007200972654512698,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,4,poolmodel,0,-0.10851237094064724,0.01766188964802464,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,4,sepmodel,0.028,6.48557319527056e-4,0.008387752592012753,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,3,NA,914,EQ,H0,4,splines,0.027,0.0011159057239899578,0.007145282158420377,0,1000
