num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.0646,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0712,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.071,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.0684,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0822,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0235,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0236,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.026,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0386,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0414,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0353,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0338,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0444,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0243,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0221,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0214,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0478,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.052,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0478,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.046,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0586,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0224,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0203,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0211,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.062,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0683,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.0674,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.0642,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0771,0,10000
4,250,0,250,500,750,180,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0212,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.024,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0248,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0348,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0391,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0311,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0302,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0413,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0265,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0252,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0275,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0517,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.0569,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0468,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.0448,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0631,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0236,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0235,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.023,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.0674,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0729,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.0723,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.067,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0814,0,10000
4,250,0,250,500,750,222,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0243,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0252,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0262,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0364,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0396,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0314,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0307,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0419,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0241,0,10000
4,250,0,250,500,750,263,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0258,0,10000
