num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8306
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8639
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9787
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.985
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8313
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8661
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9782
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9962
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8289
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8613
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9311
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.955
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8364
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8681
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9862
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9872
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8323
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8659
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9892
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9959
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8246
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8554
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.895
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.949
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8292
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8564
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.978
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9864
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8267
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8665
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9945
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9945
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8314
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,fixmodel,0.8552
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.8533
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,poolmodel,1
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,sepmodel,0.8189
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,fixmodel,0.8631
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8625
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,poolmodel,1
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,sepmodel,0.8251
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,4,fixmodel,0.8738
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8786
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,4,poolmodel,1
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,4,sepmodel,0.8282
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,fixmodel,0.8492
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9163
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,poolmodel,0.9999
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,2,sepmodel,0.8157
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,fixmodel,0.8569
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,stepwise,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9132
