num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1_cal,0.73,-0.035961507197650164,0.009131837206529035,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_cal,0.5332,-0.0851702105668021,0.014571418441766359,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,sepmodel,0.7967,7.1152415066229e-4,0.008031116475784568,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,fixmodel,0.8228,-5.91807060827175e-4,0.007428512761372558,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel,0.7684,-0.023857712912660648,0.007742356012011371,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1,0.7509,-0.029991246731866407,0.008037006695118677,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1_cal,0.7559,-0.030571236337985187,0.007952905681778371,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_cal,0.7249,-0.04075290543694403,0.008327032311163515,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,sepmodel,0.796,-5.467923548126622e-4,0.007912021193031268,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,fixmodel,0.8348,-2.69720422585956e-4,0.00728187429778039,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel,0.7243,-0.03913750553526863,0.008845121127106014,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1,0.7082,-0.04390932730945092,0.009456759731651424,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7091,-0.04505734406922204,0.009500921194857705,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_cal,0.601,-0.07513794560534379,0.011866135807415166,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,sepmodel,0.7962,-5.695986564501096e-4,0.007958332095092661,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,fixmodel,0.8365,-5.246400908411205e-4,0.0071435588490930384,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel,0.6786,-0.05107933740804113,0.01010136157608853,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1,0.6904,-0.04836678994562965,0.010295415465011696,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1_cal,0.6751,-0.05183356936106351,0.010787738939261497,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_cal,0.4766,-0.10281376517046141,0.01656258697426696,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,sepmodel,0.7974,-8.970906279090782e-4,0.007960537190664446,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,fixmodel,0.8229,7.110323339262781e-4,0.007568084636774223,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel,0.7713,-0.022426296558106715,0.007790442277968867,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1,0.7555,-0.028508051823258673,0.00805089220485821,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1_cal,0.7599,-0.028383266081253796,0.007942057275722173,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_cal,0.7357,-0.036920832449923315,0.008194630696480671,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,sepmodel,0.7929,0.0010261582302597406,0.008093341240642864,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,fixmodel,0.8399,0.001555133578064048,0.007163641073404611,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel,0.731,-0.03727481638681546,0.008596707542447379,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1,0.7131,-0.04225136340696435,0.009212194972379077,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7208,-0.04094570831551209,0.008983653553932625,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_cal,0.6266,-0.06847621392720152,0.010893432510651556,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,sepmodel,0.8044,0.0016644007361019248,0.007835469715568774,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,fixmodel,0.837,9.991153448175225e-4,0.0072162028705828425,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel,0.6862,-0.04940513801564512,0.010042947857776657,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1,0.6964,-0.04665696034918203,0.010241019912059973,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1_cal,0.6948,-0.04660425172130966,0.01028760162815778,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_cal,0.5196,-0.09388306054643955,0.015146354765911344,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,sepmodel,0.7923,9.282029168872313e-4,0.007990284176213544,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,fixmodel,0.8194,-0.001294937142099547,0.007591052135154922,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel,0.7675,-0.024320659824800753,0.007902832448547182,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1,0.7525,-0.03027864832964876,0.008191379747665739,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1_cal,0.786,-0.024251129986523325,0.0076108451372777905,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_cal,0.7733,-0.028750477775687833,0.007695102588732595,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,sepmodel,0.7894,-0.00148876870856804,0.008159248870434687,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,fixmodel,0.8292,-0.0013060063011890843,0.007268479184036141,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel,0.7176,-0.03981905657778128,0.008924414155531395,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1,0.7001,-0.044730056066013595,0.009553213132629197,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7138,-0.04295821273502521,0.009192943610300337,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_cal,0.6539,-0.06138051476267605,0.01031961226285231,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,sepmodel,0.7891,-0.0014189404203270044,0.00793671715519705,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,fixmodel,0.8341,-2.0956012650497782e-4,0.00726552381643686,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel,0.6779,-0.0508564849610047,0.010227816588847874,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1,0.6858,-0.048383943694802756,0.010462597869419395,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1_cal,0.693,-0.047318431017878325,0.010209987551822704,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_cal,0.5725,-0.0807089022739916,0.013270163212368543,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,sepmodel,0.7978,1.3972695770709956e-4,0.00804121432613813,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,NA,NA,FALSE,2,fixmodel,0.8245,-2.919777742247988e-4,0.007364957374476829,0,10000
