num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,4,sepmodel,0.0227,-5.620561609397292e-4,0.007848536641617585,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,2,fixmodel,0.0269,0.001991129260430853,0.007590366084941475,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,2,fixmodel_cal,0.0273,0.0015347187336051096,0.007314372210685136,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,2,sepmodel,0.0258,0.0018733631457596809,0.008118363283611407,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,3,fixmodel,0.0235,7.237661206178046e-4,0.007243864159619536,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,3,fixmodel_cal,0.024,6.300290742141534e-4,0.007047638347763016,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,3,sepmodel,0.0241,3.2070241745859484e-4,0.007937077596416821,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,4,fixmodel,0.0274,-3.301705389170066e-4,0.007295045056877735,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,4,fixmodel_cal,0.027,-5.777902122942205e-4,0.007285257012257582,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,4,sepmodel,0.0246,-6.124805642016108e-4,0.008104352663093041,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,2,fixmodel,0.0265,2.4194658502689977e-4,0.007378823655978387,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,2,fixmodel_cal,0.0254,-1.4957728442564788e-4,0.007115195592516059,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,2,sepmodel,0.0247,5.378836964956339e-4,0.007898556384443414,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,3,fixmodel,0.0266,-0.0011644204036118553,0.007397320040031073,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,3,fixmodel_cal,0.0252,-0.0015766415619431519,0.0073155284984138995,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,3,sepmodel,0.0249,-0.0011556842352773511,0.008110788005493693,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,4,fixmodel,0.0254,-6.067983281803125e-4,0.007287113506860313,0,10000
