num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0126,-0.022239497540447246,0.007540230738640745,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_cal,0.0086,-0.031508388072914575,0.0078312192096428,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,sepmodel,0.024,6.034775950852043e-4,0.008010931008997016,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,fixmodel,0.0261,-3.8569351711851435e-4,0.00734901470304788,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel,0.0106,-0.03591705534886683,0.008955049295499819,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1,0.0104,-0.038061192221391205,0.009457342280108461,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0117,-0.035649062809197773,0.0090921154812436,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_cal,0.0034,-0.06710931632132375,0.011658007683024269,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,sepmodel,0.025,-4.3338261131228704e-4,0.008051079937692452,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,fixmodel,0.0258,-2.6471889897751064e-5,0.007221352055627262,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel,0.0094,-0.04403625250865457,0.009772426697786628,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1,0.0119,-0.03697873626177509,0.009404366677843503,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1_cal,0.0113,-0.03651612490911988,0.009176413239289045,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_cal,0.0018,-0.085863122323473,0.01468199865222217,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,sepmodel,0.0235,-1.431889939189002e-4,0.007942505940900802,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,fixmodel,0.0235,-8.46754877233818e-4,0.007426282673036485,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel,0.0128,-0.023857332605675827,0.007722303282401234,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1,0.0107,-0.029909048576319017,0.007999513347183266,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0104,-0.030411322892416708,0.007903647243503316,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_cal,0.0067,-0.04044806579514579,0.008272248162367804,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,2,sepmodel,0.0249,-7.94472526688952e-4,0.008049599014982886,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,fixmodel,0.0252,-6.0481850776565265e-5,0.007365028715678406,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel,0.009,-0.03868230273332508,0.00894311772956455,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1,0.0093,-0.04373260970874775,0.009603095660600285,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0091,-0.04437813376648639,0.009605366268184569,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_cal,0.0021,-0.07449102992424399,0.011845031946046107,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,3,sepmodel,0.0263,-1.3010657033497383e-4,0.008121136789075537,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,fixmodel,0.0252,-5.749806072934616e-4,0.007219384799624779,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel,0.0073,-0.050978300496354864,0.010194640046556383,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1,0.0102,-0.04844928305684781,0.010419702490859498,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1_cal,0.009,-0.05167952686864645,0.010796244238286415,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_cal,4e-4,-0.10288263867173779,0.016623828174833433,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,NA,NA,FALSE,4,sepmodel,0.0239,-8.160590282424527e-4,0.008119743192115397,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,fixmodel,0.025,9.86752358515154e-5,0.00747855974697472,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel,0.0138,-0.023131407930114763,0.007764420854502614,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1,0.0127,-0.029351955329658733,0.008051620950125413,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0126,-0.029157521202748473,0.007925993629248392,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_cal,0.0087,-0.03776849652504481,0.00821171835829734,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,2,sepmodel,0.026,-1.4936683941802936e-5,0.008055397402403889,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,fixmodel,0.0251,8.621968254209492e-4,0.00728465010332066,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel,0.009,-0.03778425175676739,0.008760897644420793,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1,0.0084,-0.04280186921733834,0.009432177433245611,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0099,-0.04142035482744231,0.009222545684072837,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_cal,0.0022,-0.06907460919073788,0.01108087266399551,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,3,sepmodel,0.0264,8.094193790755234e-4,0.00807663810618368,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,fixmodel,0.0266,1.3425439478323472e-6,0.007301426199224079,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel,0.0079,-0.05036053524630982,0.010188174025940043,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1,0.0106,-0.047715063466176606,0.010448010368050634,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1_cal,0.0109,-0.04762080859160353,0.010403580925587368,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_cal,8e-4,-0.09497788992911228,0.015320892611205074,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,50,NA,NA,FALSE,4,sepmodel,0.0263,-4.702198368615557e-4,0.008097992964110344,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,fixmodel,0.0259,7.60762518340286e-4,0.007366332774022045,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel,0.0154,-0.02254099804293821,0.0076211504386169224,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1,0.0136,-0.028674787702186386,0.0079089340525995,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0148,-0.022661203895954208,0.007335773469949903,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_cal,0.0118,-0.02735597699491699,0.007396293320400511,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,2,sepmodel,0.0268,0.001067431652014016,0.007945527430376787,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,fixmodel,0.0255,0.0019758331825443904,0.007258117548000984,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel,0.0098,-0.03684607527429712,0.008617798023666322,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1,0.0096,-0.04179479635552751,0.009203293517663835,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0115,-0.039776672480460594,0.008906172630516778,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_cal,0.0045,-0.05906112449306939,0.010041406461524826,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,3,sepmodel,0.0256,0.0015866375767649207,0.007899874317684377,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,fixmodel,0.0271,0.0026671208013449832,0.007096603032554486,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel,0.0085,-0.04763975160948163,0.009685347322819665,0,10000
