num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,ci,bs_degree,n_wave,N_peak,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,NA,NA,7,splines_cal,0.8487,-6.163753932645919e-4,0.006984979192418084,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,2,fixmodel,0.827,1.7528854490382747e-4,0.007495685163660454,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,2,sepmodel,0.7933,-1.8871499595814713e-4,0.008088378440713138,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,2,splines,0.8325,2.1477675833474124e-4,0.007396839802132799,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,2,splines_cal,0.8274,9.259409988761513e-5,0.007502281016225255,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,3,fixmodel,0.8234,7.029867031211085e-4,0.007367868811582809,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,3,sepmodel,0.7927,3.389831622574387e-4,0.007873939150940298,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,3,splines,0.832,7.415539055428352e-4,0.007281468555721973,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,3,splines_cal,0.8247,6.084375646409127e-4,0.007368542407874434,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,4,fixmodel,0.8425,0.0015092654599045423,0.007139666250383882,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,4,sepmodel,0.7968,0.001108419646654224,0.007956917302871092,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,4,splines,0.8457,0.0014877433186075136,0.0070865815508850865,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,4,splines_cal,0.8467,0.0015195104030153585,0.0071241792140458214,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,5,fixmodel,0.8395,8.773219081746812e-4,0.007184919573753012,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,5,sepmodel,0.7952,4.764760949239981e-4,0.007975291455976474,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,5,splines,0.8408,8.573315426111215e-4,0.007128728143112982,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,5,splines_cal,0.8399,8.365914022384626e-4,0.007146191149523888,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,6,fixmodel,0.8459,1.3331656225880852e-4,0.007002373251371484,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,NA,NA,6,sepmodel,0.7942,-4.2228649780551315e-5,0.00796048168590715,0,10000
