num_arms,n_arm,d1,d2,period_blocks,mu0,sigma,theta1,theta2,lambda0,lambda1,lambda2,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,mixmodel,0.10066
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,poolmodel,0.09989
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,sepmodel,0.10053
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,fixmodel,0.09909
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,mixmodel,0.1438
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,poolmodel,0.22105
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,sepmodel,0.09912
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,fixmodel,0.10115
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,mixmodel,0.12534
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,poolmodel,0.40342
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,sepmodel,0.10127
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,fixmodel,0.09942
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,mixmodel,0.11346
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,poolmodel,0.60542
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,sepmodel,0.09979
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,fixmodel,0.09837
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,mixmodel,0.10848
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,poolmodel,0.78483
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,sepmodel,0.09824
