num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,2,mixmodel,0.9093
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,2,mixmodel_cal,0.925
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,2,sepmodel,0.8331
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,3,fixmodel,0.8578
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,3,fixmodel_cal,0.8578
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,3,mixmodel,0.9451
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,3,mixmodel_cal,0.9682
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,3,sepmodel,0.8304
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,2,fixmodel,0.8558
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,2,fixmodel_cal,0.8562
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,2,mixmodel,0.9119
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,2,mixmodel_cal,0.9456
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,2,sepmodel,0.834
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,3,fixmodel,0.8581
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,3,fixmodel_cal,0.8579
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,3,mixmodel,0.9434
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,3,mixmodel_cal,0.9886
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,3,sepmodel,0.8309
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,2,fixmodel,0.8538
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,2,fixmodel_cal,0.8536
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,2,mixmodel,0.9084
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,2,mixmodel_cal,0.9653
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,2,sepmodel,0.8285
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,3,fixmodel,0.8573
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H1,3,fixmodel_cal,0.8569
